input,output
0.01807917701,0.25
0.0247474859,0.25
0.03104582122,0.25
0.0332611509,0.5
0.03491017137,0.25
0.037262057,0.5
0.03969768974,0.5
0.03991406799,0.5
0.04275671772,0.25
0.04916271417,0.25
0.05190927295,0.25
0.05193723961,0.5
0.06029131045,0.5
0.0603260609,0.25
0.06164720288,0.5
0.07148541565,0.25
0.08341037797,0.25
0.09207879479,0.5
0.1031786116,0.5
0.1056689162,0.25
0.1067338286,0.25
0.107451803,0.5
0.1086225261,0.5
0.1114162404,0.25
0.1144341372,0.25
0.1179941869,0.5
0.1196285006,0.25
0.1212006537,0.5
0.1245974908,0.5
0.1255122385,0.25
0.1272380053,0.5
0.1279126341,0.25
0.135545117,0.5
0.1365626321,0.25
0.1376702032,0.5
0.140356126,0.25
0.1421466576,0.25
0.1473090794,0.5
0.1473686396,0.5
0.150318802,0.5
0.1522070636,0.25
0.1527678901,0.5
0.1578413921,0.25
0.1633534173,0.25
0.1658448315,0.25
0.168255299,0.5
0.1704192637,0.5
0.1709939016,0.25
0.1791649981,0.5
0.1796928171,0.5
0.1820323801,0.25
0.1827908773,0.5
0.183729289,0.25
0.1900586457,0.25
0.1916484401,0.5
0.1917570295,0.5
0.193193707,0.25
0.194521464,0.25
0.2008256598,0.5
0.202011154,0.5
0.2048457099,0.5
0.2054965984,0.5
0.2085365245,0.5
0.2112104515,0.25
0.2119836855,0.25
0.219163509,0.5
0.2199539327,0.5
0.2224359529,0.25
0.2248334325,0.25
0.2255122971,0.5
0.2278417415,0.25
0.2279143288,0.5
0.2312443962,0.25
0.2334829426,0.25
0.2339569963,0.5
0.2356242095,0.5
0.2361448965,0.25
0.2363299653,0.5
0.2370381184,0.25
0.2376290605,0.5
0.2440967114,0.25
0.2494513539,0.25
0.2556049995,0.5
0.2569225436,0.5
0.2604328548,0.25
0.2619188329,0.5
0.2667872212,0.25
0.2694638728,0.25
0.2706405417,0.5
0.2775793245,0.25
0.2806881845,0.25
0.2822795559,0.5
0.2824396189,0.5
0.2828506842,0.5
0.2834983807,0.5
0.2851428919,0.5
0.2863457757,0.5
0.2873385113,0.5
0.2882779069,0.25
0.2901876358,0.5
0.2921451233,0.25
0.2923061514,0.25
0.2954271965,0.5
0.2982998183,0.5
0.2982998183,0.5
0.3020424865,0.5
0.3020424865,0.5
0.3024644324,0.25
0.3071829833,0.5
0.3151921838,0.5
0.3200815111,0.5
0.3228041134,0.5
0.3256811594,0.25
0.3287023502,0.5
0.3302393198,0.5
0.3327564637,0.5
0.3337906156,0.25
0.3348967094,0.25
0.3365888582,0.5
0.3371906989,0.5
0.3374577803,0.5
0.3395066409,0.5
0.3441461857,0.5
0.3459137623,0.5
0.3517684833,0.5
0.3549636376,0.5
0.3619994695,0.25
0.3643939544,0.25
0.3645294478,0.5
0.3692765168,1
0.3698726914,0.5
0.3719959344,1
0.3720510756,0.5
0.3756884549,0.25
0.3793492031,1
0.3821246181,0.5
0.3822197188,1
0.3825347436,0.5
0.3826188178,0.5
0.3843841924,0.25
0.3847523065,1
0.3922529291,0.5
0.3927090585,0.25
0.3972008475,0.5
0.3996638394,1
0.4042214818,0.5
0.4049315974,0.25
0.4082743143,1
0.4139873646,1
0.4147814822,0.5
0.4148590329,0.5
0.4231552375,1
0.4237527738,0.5
0.4274034041,0.5
0.4299721198,0.5
0.4307788061,0.5
0.4337656049,1
0.4493130644,1.5
0.4522512143,0.25
0.4557459302,1
0.4619245301,0.5
0.4660737985,0.25
0.4691573756,0.5
0.4730085007,0.25
0.4766701289,0.5
0.4782902308,0.5
0.4796522457,0.5
0.4858850086,0.5
0.4896235766,1
0.4922149956,1
0.4946229264,0.5
0.4966567092,1
0.4979186323,0.55
0.4982292844,0.5
0.5011702432,0.5
0.5044583294,0.5
0.5062016281,0.5
0.5119818028,1
0.5285133566,0.5
0.5298593226,0.5
0.5326621781,0.5
0.5332532523,0.5
0.5391441554,0.55
0.5465396814,0.5
0.5531645278,1
0.5557537342,0.5
0.5603511944,1
0.5769739815,1
0.5770339089,1
0.5814735825,1
0.5854508223,0.5
0.5949179754,0.5
0.5957406755,0.5
0.596267739,0.55
0.602601921,0.5
0.6163114226,0.5
0.6170720268,1
0.6226876236,1
0.6238001739,1
0.6256225276,0.5
0.6306744591,0.5
0.6327865199,0.5
0.6420115371,0.5
0.6484824319,1
0.6498502512,1
0.651727663,0.5
0.6604390854,0.5
0.6619453924,1
0.6724511305,0.5
0.6858615379,1.05
0.698040418,0.5
0.7160671685,1
0.7337861052,1
0.7384064346,2
0.7426761623,1
0.7699700996,1
0.7860071056,1.5
0.7998276765,2
0.8079945704,2
0.8102280427,1
0.836501756,1
0.8602054842,1
0.8811756529,2
0.9192385657,1
0.9249643509,1
0.9715512358,2
1.005717062,1
1.012081605,1
1.027050831,1
1.027194051,1
1.05033885,1
1.05047085,1
1.063501797,3
1.096764134,3
1.118149991,2
1.147638818,1
1.222960761,2.05
1.283751785,3
1.323262264,2
1.3691919,2
1.446414526,2
