input,output
0.03874831644,0.25
0.1473090794,0.5
0.1924541316,0.5
0.2112501078,0.5
0.226644734,0.5
0.2420596941,0.5
0.2537771305,0.5
0.263239271,0.5
0.2740427697,0.5
0.2750650303,0.5
0.2943726238,0.5
0.359664903,1
0.379349262,1
0.3996639892,1
0.4082742387,1
0.4139873449,1
0.4231552686,1
0.4237659136,1
0.4337655064,1
0.4361230287,1
0.4769338507,1
0.4922147023,1
0.5531645278,1
0.5770339544,1
0.6238001739,1
0.6498501251,1
0.6540735179,1
0.7699700531,1
0.9249641646,1
0.9900860294,1
1.008965868,1
1.010004347,1
1.039641098,2.5
1.283751785,3
1.573683585,3
