                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2708,                 4.1921,                 2.6846,                      0,                      0,                      0,                      0,                      0,                 241.54,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.6827,                 3.2015,                 2.0672,                      0,                      0,                      0,                      0,                      0,                 241.53,                      0,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.4576,                 2.5216,                 1.7845,                      0,                      0,                      0,                      0,                      0,                 245.06,                      0,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.2608,                  2.218,                  1.635,                      0,                      0,                      0,                      0,                      0,                 242.29,                      0,             0.00032338,             0.00032338,             0.00032338
                      5,                   1.22,                 2.0444,                   1.58,                      0,                      0,                      0,                      0,                      0,                 237.67,                      0,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.1844,                 1.9417,                 1.5208,                      0,                      0,                      0,                      0,                      0,                 235.32,                      0,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.0308,                 1.8591,                 1.4858,                      0,                      0,                      0,                      0,                      0,                  231.3,                      0,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.0551,                 1.6421,                 1.4128,                      0,                      0,                      0,                      0,                      0,                 230.25,                      0,             0.00028858,             0.00028858,             0.00028858
                      9,                  1.016,                 1.5566,                 1.3239,                      0,                      0,                      0,                      0,                      0,                 231.49,                      0,             0.00022048,             0.00022048,             0.00022048
                     10,                 1.0018,                 1.6042,                 1.3571,                      0,                      0,                      0,                      0,                      0,                 229.62,                      0,             0.00012862,             0.00012862,             0.00012862
